City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Natal,BR,82.6,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
425,Sakakah,SA,75.18,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
428,Bambanglipuro,ID,80.74,scattered clouds,-7.95,110.2833,Puri Brata
429,Ambovombe,MG,81.36,clear sky,-25.1667,46.0833,RELAHARA
430,Qeshm,IR,78.04,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
433,Gizo,SB,83.82,light rain,-8.103,156.8419,Imagination Island
444,Port-Gentil,GA,80.83,broken clouds,-0.7193,8.7815,Fengshui Residence
446,Kanniyakumari,IN,79.39,light rain,8.0833,77.5667,Sparsa
447,Ouegoa,NC,80.33,scattered clouds,-20.35,164.4333,
450,Jaipur,IN,77.31,scattered clouds,26.9167,75.8167,Naila Bagh Palace
458,Castilho,BR,78.51,overcast clouds,-20.8722,-51.4875,D S Oliveira Hotel
459,Yulara,AU,85.51,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
462,Sao Filipe,CV,75.96,broken clouds,14.8961,-24.4956,Hotel Xaguate
464,Gao,ML,88.43,overcast clouds,16.6362,1.637,
466,Cabadiangan,PH,79.57,overcast clouds,9.7531,122.4739,Kipot
467,Thoen,TH,80.64,broken clouds,17.6129,99.2161,Nakornthoen Hotel
469,Vieux Fort,LC,79.57,broken clouds,13.7167,-60.95,Cedar Palm Villa
471,Tual,ID,84.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
472,Namibe,AO,76.32,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
478,Labuan,MY,82.8,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
482,Bolobo,CD,87.04,light rain,-2.1667,16.2333,Hotel de Stephen
485,Umtata,ZA,80.92,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
486,Gamba,GA,80.04,light rain,-2.65,10.0,
488,Bacolod,PH,80.49,overcast clouds,10.6667,122.95,Planta Hotel & Residences
491,Nkhotakota,MW,85.62,clear sky,-12.9274,34.2961,Sitima Inn
492,West Bay,KY,78.58,broken clouds,19.3667,-81.4167,Calypso Cove
507,Port Hedland,AU,85.51,clear sky,-20.3167,118.5667,The Esplanade Hotel
512,Kieta,PG,80.91,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
515,Dwarka,IN,84.54,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
516,Nakhon Thai,TH,78.94,overcast clouds,17.1006,100.8374,Phet resort
517,Touros,BR,82.94,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
518,Sibolga,ID,79.83,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
519,Jalu,LY,82.69,overcast clouds,29.0331,21.5482,صاحبة الفخامة
520,Port Moresby,PG,78.42,moderate rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
522,Richards Bay,ZA,81.43,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
525,Cabedelo,BR,81.99,broken clouds,-6.9811,-34.8339,Hotel Pigalle
529,Tagana-An,PH,80.56,few clouds,9.6972,125.5856,"Camille Ann, Islet Resort"
538,Manado,ID,77.77,light rain,1.487,124.8455,Aryaduta Hotel
540,Nedjo,ET,78.21,clear sky,9.5046,35.5019,Yerosan Hotel
543,Saint-Georges,GD,79.72,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
544,Quelimane,MZ,89.44,clear sky,-17.8786,36.8883,Hotel Flamingo
545,Ormara,PK,78.6,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
552,Buraydah,SA,76.57,clear sky,26.326,43.975,فندق راحة السلام
556,Porto Novo,BJ,88.05,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
565,Matay,EG,89.4,broken clouds,28.419,30.7792,Nag Aespen
572,Safaga,EG,83.44,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
573,Madimba,TZ,84.29,broken clouds,-10.4,40.3333,
575,Daoukro,CI,85.6,overcast clouds,7.0591,-3.9631,Komenan brou roseline
578,Ternate,ID,82.22,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
579,Makokou,GA,88.32,overcast clouds,0.5738,12.8642,Motel des voyageurs
582,Alice Springs,AU,82.71,clear sky,-23.7,133.8833,Desert Palms Alice Springs
586,Lubango,AO,78.1,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
590,Kamina,CD,79.47,light rain,-8.7386,24.9906,Guest House Florvia
600,Sao Jose Da Coroa Grande,BR,81.34,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
602,Ikalamavony,MG,89.11,few clouds,-21.15,46.5833,
608,Emerald,AU,75.16,light rain,-23.5333,148.1667,The Irish Village
611,Soni,TZ,79.18,light rain,-4.85,38.3667,Maweni Farm Hotel & Camping
615,Vanimo,PG,79.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
621,Angoche,MZ,85.17,clear sky,-16.2325,39.9086,Guest House HESADA
624,Finschhafen,PG,80.65,overcast clouds,-6.6024,147.8681,Cossam Guest House
630,Labuhan,ID,81.03,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
635,Poso,ID,76.6,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
641,Bardiyah,LY,79.88,overcast clouds,31.7561,25.0865,بورتو بردية
644,Soyo,AO,81.18,overcast clouds,-6.1349,12.3689,Hotel Mpampa
646,Nanga Eboko,CM,88.16,few clouds,4.6833,12.3667,Motel Papi Palace
657,Neiafu,TO,79.41,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
664,Popondetta,PG,75.87,light rain,-8.7537,148.2534,Timos Transit House
672,Nabire,ID,79.45,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
