City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
90,Russell,US,32.3502,-85.1999,39.31,82,2,5.39,clear sky,2021-11-29 09:40:08
91,Ismailia,EG,30.6043,32.2723,87.8,14,31,9.22,scattered clouds,2021-11-29 09:40:09
92,Aguimes,ES,27.9054,-15.4461,61.65,68,60,17.98,broken clouds,2021-11-29 09:40:09
93,Poum,NC,-20.2333,164.0167,80.33,78,54,5.35,broken clouds,2021-11-29 09:40:10
94,Kargasok,RU,59.0556,80.8572,22.19,79,100,11.83,overcast clouds,2021-11-29 09:40:10
95,Masindi,UG,1.6744,31.715,73.85,76,96,2.21,light rain,2021-11-29 09:40:10
96,Cidreira,BR,-30.1811,-50.2056,70.86,84,65,13.02,broken clouds,2021-11-29 09:38:03
97,Nara,JP,34.6851,135.8049,50.25,64,49,2.68,scattered clouds,2021-11-29 09:40:11
98,Georgetown,MY,5.4112,100.3354,77.52,88,100,5.26,light rain,2021-11-29 09:40:11
99,Pandan,PH,14.0453,124.1694,79.32,88,86,7.76,overcast clouds,2021-11-29 09:40:12
100,Kavieng,PG,-2.5744,150.7967,82.26,79,80,11.03,light rain,2021-11-29 09:40:13
101,Upernavik,GL,72.7868,-56.1549,2.01,63,100,3.47,overcast clouds,2021-11-29 09:35:09
102,Sur,OM,22.5667,59.5289,82.76,47,0,13.8,clear sky,2021-11-29 09:40:13
103,Ponta Do Sol,PT,32.6667,-17.1,63.93,70,12,6.98,few clouds,2021-11-29 09:40:14
104,Lethem,GY,3.3803,-59.7968,73.53,89,91,9.53,overcast clouds,2021-11-29 09:40:14
105,Leningradskiy,RU,69.3833,178.4167,-19.19,96,67,11.01,broken clouds,2021-11-29 09:40:14
106,Itarsi,IN,22.6167,77.75,79.2,30,100,8.61,overcast clouds,2021-11-29 09:40:15
107,Potosi,BO,-19.5836,-65.7531,42.26,83,96,4.07,overcast clouds,2021-11-29 09:40:15
108,Santana Do Matos,BR,-5.9575,-36.6556,81.05,67,64,9.4,broken clouds,2021-11-29 09:40:16
109,Guangyuan,CN,32.442,105.823,48.18,46,47,4.88,scattered clouds,2021-11-29 09:40:16
110,Broome,US,42.2506,-75.833,26.19,97,89,3.4,overcast clouds,2021-11-29 09:40:17
111,Waipawa,NZ,-41.4122,175.5153,60.37,88,91,4.74,overcast clouds,2021-11-29 09:40:17
112,Torbay,CA,47.6666,-52.7314,43.09,80,21,13.31,few clouds,2021-11-29 09:40:18
113,Beringovskiy,RU,63.05,179.3167,8.15,95,100,6.82,light snow,2021-11-29 09:40:18
114,Vostok,RU,46.4856,135.8833,5.2,99,88,3.4,overcast clouds,2021-11-29 09:40:19
115,Albany,US,42.6001,-73.9662,28.0,95,92,3.13,light snow,2021-11-29 09:37:25
116,Honningsvag,NO,70.9821,25.9704,22.46,87,87,26.06,overcast clouds,2021-11-29 09:40:19
117,Yellowknife,CA,62.456,-114.3525,1.04,91,99,16.49,overcast clouds,2021-11-29 09:40:20
118,Ballina,AU,-28.8667,153.5667,69.48,82,44,6.64,scattered clouds,2021-11-29 09:40:20
119,Kannur,IN,11.8675,75.3576,82.11,75,100,9.48,overcast clouds,2021-11-29 09:40:21
120,Marsh Harbour,BS,26.5412,-77.0636,72.45,66,49,12.75,scattered clouds,2021-11-29 09:35:30
121,Bay Roberts,CA,47.5999,-53.2648,43.03,84,39,11.63,scattered clouds,2021-11-29 09:40:21
122,Bilma,NE,18.6853,12.9164,85.48,12,100,4.32,overcast clouds,2021-11-29 09:40:22
123,Vangaindrano,MG,-23.35,47.6,80.47,55,44,10.29,scattered clouds,2021-11-29 09:40:22
124,Codrington,AU,-38.2667,141.9667,55.0,84,6,4.47,clear sky,2021-11-29 09:40:22
125,El Ermitano,MX,20.2072,-97.5114,67.23,92,99,2.71,overcast clouds,2021-11-29 09:40:23
126,Mar Del Plata,AR,-38.0023,-57.5575,60.64,95,100,20.29,overcast clouds,2021-11-29 09:35:32
127,Tyumentsevo,RU,53.3224,81.498,12.15,92,82,4.59,broken clouds,2021-11-29 09:40:23
128,Iqaluit,CA,63.7506,-68.5145,21.58,88,100,11.83,light snow,2021-11-29 09:40:24
129,Darhan,MN,49.4867,105.9228,11.48,89,16,5.97,few clouds,2021-11-29 09:40:24
130,Qaanaaq,GL,77.484,-69.3632,-3.73,58,32,9.22,scattered clouds,2021-11-29 09:40:25
131,Buala,SB,-8.145,159.5921,81.73,80,96,6.71,overcast clouds,2021-11-29 09:40:25
132,Fortuna,US,40.5982,-124.1573,51.51,95,46,5.1,scattered clouds,2021-11-29 09:40:26
133,Bonavista,CA,48.6499,-53.1147,42.12,75,69,18.77,broken clouds,2021-11-29 09:40:26
134,Batagay,RU,67.6333,134.6333,-25.94,100,100,0.67,overcast clouds,2021-11-29 09:40:26
135,Faanui,PF,-16.4833,-151.75,80.58,78,99,10.36,overcast clouds,2021-11-29 09:40:27
136,New Norfolk,AU,-42.7826,147.0587,52.0,96,57,1.99,broken clouds,2021-11-29 09:35:10
137,Komsomolskiy,UZ,40.4272,71.7189,52.75,24,29,2.3,scattered clouds,2021-11-29 09:41:27
138,Bitung,ID,1.4451,125.1824,80.02,81,99,3.2,very heavy rain,2021-11-29 09:41:28
139,Grand-Lahou,CI,5.1367,-5.0242,84.2,70,87,5.77,overcast clouds,2021-11-29 09:41:28
140,Saint-Augustin,CA,51.226,-58.6502,33.94,83,97,17.87,overcast clouds,2021-11-29 09:41:29
141,Spas-Demensk,RU,54.4122,34.0226,40.84,95,100,8.81,overcast clouds,2021-11-29 09:41:29
142,Pomerode,BR,-26.7406,-49.1769,73.51,83,81,1.77,broken clouds,2021-11-29 09:41:30
143,Bathsheba,BB,13.2167,-59.5167,79.16,71,63,17.72,broken clouds,2021-11-29 09:41:30
144,Sitka,US,57.0531,-135.33,33.94,80,97,6.55,light rain,2021-11-29 09:41:31
145,Thompson,CA,55.7435,-97.8558,12.33,95,100,7.16,light snow,2021-11-29 09:41:31
146,Samarai,PG,-10.6167,150.6667,82.33,81,100,9.31,overcast clouds,2021-11-29 09:41:31
147,Hithadhoo,MV,-0.6,73.0833,82.06,77,31,17.36,scattered clouds,2021-11-29 09:41:32
148,Beamsville,CA,43.1668,-79.4829,28.02,78,49,8.19,scattered clouds,2021-11-29 09:41:32
149,Tashigang,BT,27.3331,91.5542,63.93,57,52,4.68,broken clouds,2021-11-29 09:41:33
150,Flin Flon,CA,54.7682,-101.865,18.05,96,93,6.51,overcast clouds,2021-11-29 09:41:33
151,Dudinka,RU,69.4058,86.1778,-19.17,99,100,7.23,overcast clouds,2021-11-29 09:41:33
152,Cairns,AU,-16.9167,145.7667,78.96,85,52,5.5,light rain,2021-11-29 09:40:04
153,Mahebourg,MU,-20.4081,57.7,80.67,57,1,8.99,clear sky,2021-11-29 09:41:34
154,Meteti,PA,8.4983,-77.9786,72.63,99,73,1.7,broken clouds,2021-11-29 09:41:35
155,Puri,IN,19.8,85.85,80.96,41,58,8.79,broken clouds,2021-11-29 09:41:35
156,Fatehpur,IN,25.9333,80.8,78.1,32,100,7.83,overcast clouds,2021-11-29 09:41:35
157,Eydhafushi,MV,5.1033,73.0708,79.86,81,100,14.61,very heavy rain,2021-11-29 09:41:36
158,Waddan,LY,29.1614,16.139,64.74,29,100,18.54,overcast clouds,2021-11-29 09:41:36
159,Kamaishi,JP,39.2667,141.8833,44.51,77,69,6.87,broken clouds,2021-11-29 09:41:37
160,Baringo,KE,0.4667,35.9667,88.03,31,42,7.2,scattered clouds,2021-11-29 09:41:37
161,Vardo,NO,70.3705,31.1107,20.91,83,100,25.77,overcast clouds,2021-11-29 09:35:15
162,Opuwo,NA,-18.0607,13.84,91.38,20,70,12.93,broken clouds,2021-11-29 09:41:38
163,Arman,RU,59.7,150.1667,-0.72,93,97,7.0,overcast clouds,2021-11-29 09:41:38
164,Aranda De Duero,ES,41.6704,-3.6892,44.91,74,49,15.55,scattered clouds,2021-11-29 09:41:39
165,Berlevag,NO,70.8578,29.0864,15.42,85,95,16.84,overcast clouds,2021-11-29 09:41:39
166,Mattru,SL,7.6244,-11.8332,82.15,79,100,0.4,overcast clouds,2021-11-29 09:41:40
167,Hirson,FR,49.9226,4.0826,35.82,96,92,8.25,overcast clouds,2021-11-29 09:41:40
168,San Patricio,US,28.017,-97.5169,53.76,89,31,4.52,scattered clouds,2021-11-29 09:41:40
169,Angoram,PG,-4.0625,144.0661,76.93,92,99,3.13,overcast clouds,2021-11-29 09:41:41
170,Broken Hill,AU,-31.95,141.4333,77.56,33,21,7.96,few clouds,2021-11-29 09:41:41
171,Creel,MX,27.75,-107.6333,40.86,78,100,4.63,overcast clouds,2021-11-29 09:41:42
172,Talnakh,RU,69.4865,88.3972,-18.26,98,94,8.52,overcast clouds,2021-11-29 09:41:42
